custom-id-1,expected-gfa
54115,1627.08
92258,6032.74
44510,1211.65
96228,1412.67
44086,1348.29
54574,4414.88
124783,2106.78
44083,1756.4
54573,10971.24
22507,1214.38
54112,1771.2
109180,3393.85
129839,1477.84
44085,1217.1
126008,1962.24
110576,2968.56
56067,1344.22
129503,989.06
56146,2971.74
54570,1186.7
6358,2596.16
21180,11787.18
44552,977.76
127443,4190.28
130144,15833.2
128215,1678.48
44543,1998.74
56156,1299.24
56148,1540.29
56113,1195.41
53553,3405.43
54125,2522.88
22013,1028.19
53750,4104.44
53554,1542.54
54156,1664.16
22294,1406.22
54124,5685.96
127459,946.65
129838,1026.75
43666,1113.06
104665,3121.14
54647,2792.73
52296,2016.16
22008,5561.42
22090,3873.15
22009,1003.41
127937,2851.8
54158,1852.92
53660,1129.29
54159,3500.31
78038,7889.8
98570,2785.96
22006,11007.58
22004,1868.78
22003,1389.75
22376,3363.38
22374,963.85
22375,2812.58
22089,5422.32
22001,2854.94
22088,4772.2
64647,5052.06
53762,1796.44
43800,2868.81
33862,5363.96
86321,3814.77
138573,1083.56
62963,1630.93
55019,2120.19
53759,957.71
44084,1013.88
55020,1433.76
111405,1591.39
54618,6439.56
55021,1346.55
33943,8424.45
53671,2944.56
54190,1985.62
54281,1520.6
53765,1289.34
125521,1241.04
22490,1086.42
22491,1088.99
22492,1354.89
33930,1790.86
111196,4788.02
76789,4502.06
53788,1028.36
54286,1364.04
95352,3711.48
44427,2720.58
83145,1149.3
53801,2702.31
53791,2454.08
53804,1124.21
111828,2247.81
64232,3975.4
44087,1904.91
118315,1610.98
53812,19914.96
44088,1794.08
33864,10425.6
85668,3103.17
73693,1365.93
71310,1772.28
94270,2285.82
53805,1291.26
44108,2983.41
44101,1321.64
112356,2915.65
44103,3969.84
43969,2477.07
99833,2425.48
44107,3333.6
44094,3236.34
33931,9993.76
33925,5641.11
33932,7497.64
114955,5847.45
92423,6263.82
44097,1557.28
44100,3108.03
127151,1627.5
44096,2396.2
44090,1253.25
53833,3011.64
44091,1282.77
44099,1174.56
34392,1629.03
75487,1359.77
53815,8737.62
44553,1020.57
43959,1045.29
33893,1061.56
32017,1366.56
44095,3141.64
126006,1677.84
127042,1061.81
106983,2525.58
75607,1336.68
126894,2390.28
81248,1168.98
11801,1463.52
13920,1300.44
33825,4238.1
60164,4993.68
103253,5027.85
44753,1556.73
117154,1175.72
128446,2374.1
22022,3975.45
44306,1816.08
93610,2068.26
44303,1601.28
122317,946.07
121893,1021.97
105082,1998.07
126877,1086.76
22467,1706.56
101082,14637.36
44305,3604.08
71029,9513.52
22023,1282.69
76082,3027.38
102783,1218.73
44287,2242.53
44283,2444.44
6330,1196.28
44284,1797.39
71497,7037.76
80920,9087.16
44288,1200.6
44302,3334.32
22249,1323.42
44290,3854.97
44285,2876.92
44304,2503.23
44293,3527.32
70119,7954.9
22112,1051.53
22264,6384.75
121639,2715.9
128485,1229.07
22178,3720.46
44735,1551.2
119933,1524.9
22114,1603.91
58141,1030.96
120075,1314.16
26086,1496.86
22021,3584.16
27850,1016.32
76476,1682.45
44548,1960.9
92928,2161.68
22412,6270.52
44203,4097.4
44414,1391.79
21953,3040.92
125519,1647.36
33868,3189.96
80431,4146.8
93921,2876.22
44209,2494.86
22019,10002.2
25816,1279.38
26081,1242.54
21952,2141.56
44743,1153.2
22102,2947.4
72679,1965.5
24833,1024.65
22260,2678
96101,2204.54
44625,1318.12
120225,1097.03
122301,1160.94
90528,938.91
22025,8979.72
22086,3353.88
44267,3935.12
128960,1025.13
44256,3105.54
94399,8385.46
43921,9486.12
44266,4335.16
91848,1240.28
71588,1196.46
74515,2946.76
22457,1791.49
21977,2939.95
22248,1589.22
59819,3909.16
128924,1938.63
22423,1584.5
22426,1196.05
22354,6509.8
21978,1128.51
